time,an_x,an_y,an_z,wn_x,wn_y,wn_z,esti_x,esti_y,esti_z,esti_a,esti_b,esti_c
0.444000,0.005742,-0.015264,0.002800,-0.072865,-0.059394,0.008021,0.001008,-0.000060,0.000527,-0.004858,-0.031180,-0.007078
0.449000,0.005692,-0.015202,0.002800,-0.072631,-0.059178,0.008022,0.001032,-0.000060,0.000534,-0.005221,-0.031476,-0.007038
0.453000,0.005651,-0.015152,0.002800,-0.072342,-0.058967,0.008022,0.001051,-0.000061,0.000539,-0.005511,-0.031712,-0.007006
0.458000,0.005601,-0.015090,0.002800,-0.072110,-0.058753,0.008022,0.001075,-0.000062,0.000547,-0.005871,-0.032006,-0.006966
0.464000,0.001966,-0.015550,0.001001,-0.135129,-0.041709,0.007988,0.001104,-0.000064,0.000555,-0.006682,-0.032256,-0.006918
0.469000,0.001930,-0.015435,0.001002,-0.134531,-0.041535,0.007988,0.001129,-0.000066,0.000563,-0.007355,-0.032464,-0.006878
0.474000,0.001895,-0.015320,0.001002,-0.133993,-0.041369,0.007988,0.001153,-0.000068,0.000570,-0.008025,-0.032670,-0.006838
0.479000,0.001859,-0.015206,0.001002,-0.133458,-0.041203,0.007989,0.001177,-0.000071,0.000577,-0.008692,-0.032876,-0.006798
0.485000,-0.010699,0.000962,0.004586,0.003199,0.017700,-0.052768,0.001206,-0.000074,0.000586,-0.008673,-0.032770,-0.007115
0.490000,-0.010684,0.000960,0.004586,0.003182,0.017589,-0.052768,0.001230,-0.000077,0.000594,-0.008657,-0.032682,-0.007378
0.494000,-0.010672,0.000958,0.004586,0.003169,0.017493,-0.052768,0.001249,-0.000079,0.000600,-0.008644,-0.032612,-0.007590
0.499000,-0.010657,0.000955,0.004586,0.003159,0.017464,-0.052768,0.001272,-0.000082,0.000608,-0.008628,-0.032525,-0.007853
0.504000,0.025755,0.001540,-0.016952,0.005886,-0.153502,0.008023,0.001296,-0.000085,0.000615,-0.008599,-0.033293,-0.007813
0.509000,0.025625,0.001535,-0.016951,0.005863,-0.152889,0.008023,0.001320,-0.000088,0.000622,-0.008570,-0.034057,-0.007773
0.514000,0.025494,0.001531,-0.016951,0.005839,-0.152278,0.008023,0.001345,-0.000090,0.000629,-0.008540,-0.034818,-0.007733
0.518000,0.025391,0.001527,-0.016951,0.005815,-0.151696,0.008023,0.001365,-0.000092,0.000634,-0.008517,-0.035425,-0.007701
0.523000,0.036585,-0.013442,-0.004364,-0.003636,-0.204175,0.008062,0.001392,-0.000095,0.000640,-0.008535,-0.036446,-0.007661
0.528000,0.036411,-0.013438,-0.004363,-0.003622,-0.203359,0.008063,0.001419,-0.000098,0.000646,-0.008554,-0.037463,-0.007620
0.534000,0.036203,-0.013435,-0.004362,-0.003656,-0.202521,0.008064,0.001452,-0.000103,0.000654,-0.008575,-0.038678,-0.007572
0.539000,0.005613,-0.005026,-0.007379,-0.024944,-0.058844,0.008023,0.001481,-0.000106,0.000659,-0.008700,-0.038972,-0.007532
0.544000,0.005563,-0.005004,-0.007379,-0.024845,-0.058609,0.008023,0.001510,-0.000110,0.000665,-0.008824,-0.039265,-0.007492
0.550000,0.005503,-0.004979,-0.007379,-0.024744,-0.058348,0.008023,0.001545,-0.000115,0.000671,-0.008973,-0.039615,-0.007444
0.555000,0.005454,-0.004958,-0.007379,-0.024627,-0.058094,0.008024,0.001574,-0.000119,0.000676,-0.009096,-0.039906,-0.007403
0.561000,0.026790,-0.006066,-0.010956,-0.090618,-0.219189,-0.052801,0.001609,-0.000124,0.000682,-0.009640,-0.041221,-0.007720
0.566000,0.026603,-0.005989,-0.010955,-0.090233,-0.218212,-0.052801,0.001640,-0.000129,0.000687,-0.010091,-0.042312,-0.007984
0.571000,0.026417,-0.005912,-0.010955,-0.089872,-0.217340,-0.052802,0.001671,-0.000134,0.000691,-0.010540,-0.043399,-0.008248
0.577000,0.026195,-0.005821,-0.010955,-0.089463,-0.216397,-0.052802,0.001709,-0.000139,0.000696,-0.011077,-0.044697,-0.008565
0.582000,-0.013923,-0.015925,0.015965,-0.075979,0.032713,0.068816,0.001741,-0.000145,0.000700,-0.011457,-0.044533,-0.008221
0.588000,-0.013889,-0.015847,0.015965,-0.075674,0.032609,0.068816,0.001778,-0.000151,0.000706,-0.011911,-0.044338,-0.007808
0.593000,-0.013861,-0.015783,0.015965,-0.075313,0.032427,0.068817,0.001810,-0.000157,0.000711,-0.012288,-0.044176,-0.007464
0.598000,0.009484,-0.010354,0.012988,-0.049850,-0.016129,0.008012,0.001841,-0.000163,0.000716,-0.012537,-0.044256,-0.007424
0.603000,0.009470,-0.010311,0.012988,-0.049651,-0.016065,0.008012,0.001872,-0.000170,0.000722,-0.012785,-0.044337,-0.007384
0.608000,0.009456,-0.010269,0.012988,-0.049453,-0.016001,0.008012,0.001904,-0.000177,0.000728,-0.013032,-0.044417,-0.007344
0.613000,0.009442,-0.010227,0.012988,-0.049255,-0.015938,0.008012,0.001936,-0.000184,0.000734,-0.013279,-0.044496,-0.007304
0.618000,-0.007307,-0.012522,-0.009781,-0.120942,0.001817,0.007979,0.001967,-0.000191,0.000740,-0.013883,-0.044487,-0.007264
0.623000,-0.007305,-0.012419,-0.009781,-0.120459,0.001810,0.007979,0.001999,-0.000199,0.000746,-0.014486,-0.044478,-0.007224
0.628000,-0.007304,-0.012316,-0.009781,-0.119977,0.001803,0.007980,0.002031,-0.000207,0.000752,-0.015085,-0.044469,-0.007184
0.634000,-0.007302,-0.012194,-0.009780,-0.119448,0.001822,0.007980,0.002068,-0.000217,0.000759,-0.015802,-0.044458,-0.007136
0.638000,0.045815,0.023065,0.011810,0.106658,-0.246977,-0.052764,0.002093,-0.000223,0.000763,-0.015376,-0.045446,-0.007347
0.644000,0.045562,0.022956,0.011812,0.106320,-0.246136,-0.052765,0.002133,-0.000233,0.000770,-0.014738,-0.046923,-0.007664
0.649000,0.045352,0.022865,0.011813,0.105809,-0.244982,-0.052765,0.002167,-0.000240,0.000776,-0.014209,-0.048148,-0.007928
0.654000,0.045143,0.022774,0.011814,0.105387,-0.244004,-0.052765,0.002202,-0.000246,0.000783,-0.013682,-0.049368,-0.008191
0.659000,-0.020062,0.017968,-0.010398,0.022168,0.061720,0.068765,0.002237,-0.000252,0.000789,-0.013571,-0.049059,-0.007848
0.663000,-0.020020,0.017953,-0.010398,0.022030,0.061447,0.068765,0.002265,-0.000257,0.000794,-0.013483,-0.048814,-0.007573
0.668000,-0.019968,0.017934,-0.010398,0.022010,0.061277,0.068766,0.002300,-0.000262,0.000800,-0.013373,-0.048507,-0.007229
0.673000,-0.019915,0.017915,-0.010398,0.021923,0.061033,0.068766,0.002334,-0.000266,0.000806,-0.013263,-0.048202,-0.006885
0.679000,-0.034770,-0.001769,0.006962,-0.070394,0.130595,-0.052815,0.002374,-0.000272,0.000813,-0.013685,-0.047418,-0.007202
0.684000,-0.034658,-0.001709,0.006962,-0.070106,0.129944,-0.052815,0.002406,-0.000276,0.000819,-0.014036,-0.046769,-0.007466
0.688000,-0.034570,-0.001661,0.006963,-0.069875,0.129399,-0.052814,0.002432,-0.000280,0.000824,-0.014315,-0.046251,-0.007677
0.694000,0.007287,-0.012387,-0.000787,-0.059506,-0.066707,0.008027,0.002469,-0.000286,0.000831,-0.014672,-0.046651,-0.007629
0.700000,0.007219,-0.012326,-0.000787,-0.059221,-0.066388,0.008027,0.002507,-0.000292,0.000838,-0.015028,-0.047050,-0.007581
0.705000,0.007162,-0.012275,-0.000787,-0.058938,-0.066095,0.008027,0.002539,-0.000298,0.000844,-0.015322,-0.047380,-0.007541
0.710000,0.007106,-0.012225,-0.000786,-0.058703,-0.065831,0.008027,0.002571,-0.000303,0.000850,-0.015616,-0.047709,-0.007501
0.715000,-0.003678,0.006315,-0.007986,0.028288,-0.015231,0.008027,0.002603,-0.000309,0.000856,-0.015475,-0.047785,-0.007460
0.721000,-0.003694,0.006286,-0.007986,0.028176,-0.015144,0.008027,0.002641,-0.000316,0.000863,-0.015305,-0.047876,-0.007412
0.726000,-0.003707,0.006262,-0.007986,0.028040,-0.015097,0.008027,0.002673,-0.000322,0.000869,-0.015165,-0.047952,-0.007372
0.731000,-0.003720,0.006238,-0.007986,0.027928,-0.015037,0.008027,0.002705,-0.000327,0.000874,-0.015026,-0.048027,-0.007332
0.735000,0.020138,0.018797,0.005805,0.025948,-0.126832,-0.052816,0.002730,-0.000331,0.000878,-0.014922,-0.048534,-0.007543
0.740000,0.020030,0.018775,0.005805,0.025915,-0.126401,-0.052817,0.002762,-0.000336,0.000884,-0.014792,-0.049166,-0.007807
0.745000,0.019922,0.018753,0.005806,0.025812,-0.125896,-0.052817,0.002795,-0.000340,0.000889,-0.014663,-0.049796,-0.008071
0.750000,-0.005247,0.008000,0.015967,-0.024682,-0.007918,0.007974,0.002828,-0.000344,0.000895,-0.014787,-0.049835,-0.008032
0.756000,-0.005255,0.008026,0.015967,-0.024533,-0.007861,0.007974,0.002867,-0.000349,0.000903,-0.014934,-0.049883,-0.007984
0.761000,-0.005262,0.008047,0.015967,-0.024465,-0.007849,0.007974,0.002900,-0.000352,0.000909,-0.015056,-0.049922,-0.007944
0.766000,-0.005269,0.008067,0.015966,-0.024367,-0.007817,0.007974,0.002933,-0.000355,0.000916,-0.015178,-0.049961,-0.007904
0.772000,0.029297,0.019472,0.010604,-0.031628,-0.169861,0.007919,0.002972,-0.000359,0.000925,-0.015368,-0.050980,-0.007856
0.777000,0.029152,0.019499,0.010604,-0.031574,-0.169072,0.007917,0.003006,-0.000361,0.000933,-0.015526,-0.051825,-0.007817
0.782000,0.029008,0.019526,0.010605,-0.031447,-0.168397,0.007915,0.003040,-0.000363,0.000941,-0.015683,-0.052667,-0.007777
